,이름,타율,타수대비홈런,타수대비삼진,타수대비사구,타수대비득점,타수대비타점,출루율,도루성공률,선수OPS,선수WAR
20,박석민,0.308,0.03954802259887006,0.1751412429378531,0.025423728813559324,0.1638418079096045,0.17796610169491525,0.3232876712328767,0.0,0.903,3.97
21,홍창기,0.281,0.012437810945273632,0.21144278606965175,0.024875621890547265,0.21641791044776118,0.0945273631840796,0.2963855421686747,0.6875,0.8290000000000001,3.94
22,오재일,0.315,0.034334763948497854,0.19742489270386265,0.0,0.13304721030042918,0.19098712446351931,0.315450643776824,0.6666666666666666,0.879,3.7
23,박건우,0.301,0.029045643153526972,0.13278008298755187,0.024896265560165973,0.2095435684647303,0.14522821576763487,0.3158953722334004,0.8,0.8370000000000001,3.69
24,배정대,0.289,0.0248565965583174,0.2695984703632887,0.009560229445506692,0.16634799235181644,0.12237093690248566,0.2926829268292683,0.6285714285714286,0.797,3.6
25,구자욱,0.307,0.033632286995515695,0.2040358744394619,0.017937219730941704,0.15695067264573992,0.17488789237668162,0.31868131868131866,0.7916666666666666,0.863,3.36
26,허경민,0.33299999999999996,0.011627906976744186,0.06511627906976744,0.011627906976744186,0.15813953488372093,0.12790697674418605,0.3378995433789954,0.7,0.813,3.34
27,김상수,0.304,0.012376237623762377,0.13613861386138615,0.019801980198019802,0.17574257425742573,0.11633663366336634,0.3164251207729469,0.7692307692307693,0.7979999999999999,3.26
28,마차도,0.28,0.024691358024691357,0.12345679012345678,0.01646090534979424,0.16255144032921812,0.13786008230452676,0.2891566265060241,0.9375,0.778,3.25
29,나지완,0.29100000000000004,0.03632478632478633,0.24358974358974358,0.038461538461538464,0.15598290598290598,0.19658119658119658,0.3168724279835391,0.0,0.8370000000000001,3.08
30,전준우,0.27899999999999997,0.046263345195729534,0.14056939501779359,0.014234875444839857,0.16903914590747332,0.1708185053380783,0.2879581151832461,0.5,0.8290000000000001,3.06
31,노진혁,0.268,0.04513064133016627,0.2494061757719715,0.011876484560570071,0.16152019002375298,0.19239904988123516,0.27505827505827507,0.0,0.82,3.02
32,강민호,0.287,0.05352112676056338,0.15211267605633802,0.011267605633802818,0.1295774647887324,0.17183098591549295,0.29526462395543174,0.0,0.836,3.0
33,유강남,0.259,0.03773584905660377,0.19811320754716982,0.030660377358490566,0.12028301886792453,0.17452830188679244,0.28018223234624146,0.5,0.7440000000000001,2.89
34,정수빈,0.29600000000000004,0.010351966873706004,0.11180124223602485,0.004140786749482402,0.17184265010351968,0.12008281573498965,0.29471544715447157,0.7142857142857143,0.757,2.83
35,김혜성,0.285,0.014227642276422764,0.18699186991869918,0.0040650406504065045,0.16056910569105692,0.11991869918699187,0.2862903225806452,0.78125,0.745,2.77
36,최재훈,0.301,0.008928571428571428,0.13095238095238096,0.044642857142857144,0.13095238095238096,0.10119047619047619,0.3258426966292135,0.0,0.7659999999999999,2.74
37,이형종,0.29600000000000004,0.059233449477351915,0.21254355400696864,0.024390243902439025,0.14285714285714285,0.17421602787456447,0.3129251700680272,1.0,0.9159999999999999,2.73
